,title,company,location,salary,job_type,summary,link_job,company_link
19,newAssociate Software Engineer,SiriusXM,"Irving, TX 75063 (Freeport/Hackberry area)+45 locations",,,"5 years of equivalent, relevant experience is also fine in lieu of the above.
Work closely with senior engineering team members to accelerate learning and…",https://www.indeed.com/rc/clk?jk=d970bb6b52cebec3&fccid=2018d5224b07e6a7&vjs=3,
20,Associate Software Engineer,Carfax,"Centreville, VA+7 locations",,Full-time,"Promote great software design and quality.
Collaborate closely with other engineers, stakeholders, and internal customers.",https://www.indeed.com/rc/clk?jk=a83cf8a20820af82&fccid=2e34fbb9cb2e96bf&vjs=3,https://www.indeed.com/cmp/Carfax
21,Software Engineer – multiple openings,The Walt Disney Company (Corporate),"Orlando, FL",,Full-time,"Development of software systems using cloud solutions (AWS, GCP, Azure).
The Cloud Management Services Engineering Team utilizes Node.js, Micro-service…",https://www.indeed.com/rc/clk?jk=91ff01de01ffffaa&fccid=4ed80f3a97849f22&vjs=3,https://www.indeed.com/cmp/The-Walt-Disney-Company
22,newAssociate Software Engineer,"Vizient, Inc.","Chicago, IL 60606 (Loop area)+11 locations",59600.0,Full-time,"Full-stack software development experience preferred.
Resolve application defects (debugging and bug cycle support).
Develop and test defined user stories.",https://www.indeed.com/rc/clk?jk=baf86097a28d699e&fccid=ab22e7c357e67bd4&vjs=3,"https://www.indeed.com/cmp/Vizient,-Inc."
23,"SOFTWARE ENGINEER, WEB - NFT",DraftKings,+11 locationsRemote,,Full-time,"Triage and debug software application issues.
Experience across multiple courses where writing software is a primary element.
Exposure to React (C# is a plus).",https://www.indeed.com/rc/clk?jk=af834160bb338e4c&fccid=2b2d6f212948082d&vjs=3,https://www.indeed.com/cmp/Draftkings
24,newAssociate Software Engineer (Full Stack),Expel,"Remote in Herndon, VA",85000.0,Full-time,"Reinforce our belief in good software engineering discipline including code reviews and unit testing.
Give you challenging, real world problems on which to use…",https://www.indeed.com/company/Expel/jobs/Associate-Software-Engineer-93b5c73e9c739764?fccid=062889022743dd76&vjs=3,
25,newSoftware Engineer,Health Advocate,+1 locationRemote,60000.0,Full-time,"Designs and develops software systems or applications for software enhancement and new products.
Participate in business meetings to identify objectives and…",https://www.indeed.com/company/Health-Advocate/jobs/Software-Engineer-05b457dc397b173b?fccid=5a9463d313b7f4de&vjs=3,https://www.indeed.com/cmp/Health-Advocate
26,Junior Software Engineer,Xometry Inc,+7 locationsRemote,,Full-time +1,"0-3 years of experience in a fast-paced technical, problem-solving environment as a software developer or software engineering intern.",https://www.indeed.com/rc/clk?jk=e40d2e8113063ace&fccid=ff53a59bcc9cb7fd&vjs=3,
27,newIntermediate Software Engineer,Publix,"Lakeland, FL 33801 (Downtown area)+6 locations",88855.0,,Work with project teams to analyze current systems and processes and design a strategy for the adoption of Agile best practices.,https://www.indeed.com/rc/clk?jk=679ed50a8dc659ba&fccid=8e5415c099aa948c&vjs=3,https://www.indeed.com/cmp/Publix
28,newBackend Software Engineer,Bling Financial,"Irvine, CA 92612 (San Joaquin Marsh area)+1 location",70000.0,Full-time,"Collaborating with other engineers to integrate shared software and services.
Designing technical server-side systems based on product requirements.",https://www.indeed.com/company/Bling-Financial/jobs/Backend-Software-Engineer-ea8ebe473e610158?fccid=8b8bfe9b98e34824&vjs=3,
29,"newSoftware Engineer, Early Career",Notion,"San Francisco, CA 94110 (Mission area)+13 locations",,,Notion is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application…,https://www.indeed.com/rc/clk?jk=5e140a733dd3b774&fccid=7095ffd299c81ef3&vjs=3,
30,newJunior Software Engineer,Impel,"New York, NY 10001 (Chelsea area)",,Full-time +1,"Work closely with a talented team of web and mobile software engineers.
At least one prior full-time position or internship as a software engineer or programmer…",https://www.indeed.com/rc/clk?jk=f785e8c4b89797fc&fccid=e219ab9c1a97f910&vjs=3,https://www.indeed.com/cmp/Impel-cc4d4aef
31,"Software Engineer II (Open to remote work, except the follow...",Nike,"Remote in Beaverton, OR+14 locations",106000.0,Full-time,"Proven experience designing and developing on the AWS cloud infrastructure is a must.
Practice DevOps ensuring a culture of testing and releasing software on…",https://www.indeed.com/rc/clk?jk=0db410ce90057865&fccid=2c62e4de04b8f952&vjs=3,https://www.indeed.com/cmp/Nike
32,Associate Software Engineer I,ACLU,"Remote in New York, NY 10004+1 location",91237.0,Full-time,"Experience in a server-side web programming environment (e.g., node.js, PHP, Python, Ruby).
Demonstrates a commitment to continued learning and consistent…",https://www.indeed.com/rc/clk?jk=a51ac93120e8ce67&fccid=d244105d1b0985b4&vjs=3,
33,Software Engineer I (Junior/Entry-level Backend Engineer),Boxed,"New York, NY",,Full-time,"Our team enjoys competitive compensation plus stock options, flexible parental leave, unlimited paid time off, regular company-wide events, and lots of other…",https://www.indeed.com/company/Boxed/jobs/Software-Engineer-731fecce3e74f388?fccid=31e99608a9d5a87f&vjs=3,https://www.indeed.com/cmp/Boxed
34,Software Engineer - Entry level,LOCKHEED MARTIN CORPORATION,"Sunnyvale, CA 94089 (Lakewood area)+126 locations",,,"Working with experienced engineers, you will support the software engineering lifecycle following the program Plan (SDP) to include requirements analysis,…",https://www.indeed.com/rc/clk?jk=5a3bce3ab664d393&fccid=fdc712cca006b86e&vjs=3,
35,newSoftware Engineer,Activision,"Santa Monica, CA+6 locations",,,"Working knowledge of at least 1 or more software development languages (preferably Java and JavaScript) .
The right candidate will be someone who loves working…",https://www.indeed.com/rc/clk?jk=fbcfec6657358d69&fccid=71147e0539a0a1b7&vjs=3,https://www.indeed.com/cmp/Activision
36,newSoftware Engineer - REMOTE,Jacobs,"Remote in Washington, DC 20001+43 locations",150000.0,Full-time,"Typical benefits offered include educational reimbursement, retirement benefits, employee stock purchase plan, health benefits, disability benefits, life and…",https://www.indeed.com/rc/clk?jk=a8e9e959da049ad9&fccid=de56d7554bea5214&vjs=3,https://www.indeed.com/cmp/Jacobs
