,title,searched_title,company,location,salary,job_type,summary,link_job,indeed_company_link
19,"newJr. Software Engineer, Customer Support and Remote Selling (...",software engineer,IKEA,"Remote in Plymouth Meeting, PA 19462",,Full-time,"Contribute to and support in the development, running and maintenance of high-quality code for the assigned Product or Service using the right toolsets required…",https://www.indeed.com/rc/clk?jk=9f8d8e28434852ba&fccid=af17ea0d1d6bbbba&vjs=3,https://www.indeed.com/cmp/Ikea
20,newEntry Level Software Engineer,software engineer,Reynolds and Reynolds,"Tallahassee, FL 32301+4 locations",,Full-time,"Auto Data Direct (ADD), a division of Reynolds and Reynolds that provides fast, accurate, real-time access to motor vehicle, vessel and driver license records,…",https://www.indeed.com/rc/clk?jk=58196c7460baf93c&fccid=a31bc978a05c527e&vjs=3,
21,newSoftware Engineer,software engineer,Micron,"Boise, ID+19 locations",,,"Collecting requirements from customer requests.
Designing, developing, debugging, documenting, testing, and deploying applications.",https://www.indeed.com/rc/clk?jk=9bf640915ce3cfab&fccid=308e483c6c40c897&vjs=3,
22,Software Engineer – multiple openings,software engineer,The Walt Disney Company (Corporate),"Orlando, FL",,Full-time,"Development of software systems using cloud solutions (AWS, GCP, Azure).
The Cloud Management Services Engineering Team utilizes Node.js, Micro-service…",https://www.indeed.com/rc/clk?jk=91ff01de01ffffaa&fccid=4ed80f3a97849f22&vjs=3,https://www.indeed.com/cmp/The-Walt-Disney-Company
23,Associate Software Engineer,software engineer,"Vizient, Inc.","Chicago, IL 60606 (Loop area)+11 locations",59600.0,Full-time,"Full-stack software development experience preferred.
Resolve application defects (debugging and bug cycle support).
Develop and test defined user stories.",https://www.indeed.com/rc/clk?jk=baf86097a28d699e&fccid=ab22e7c357e67bd4&vjs=3,"https://www.indeed.com/cmp/Vizient,-Inc."
24,newAssociate Software Engineer (Full Stack),software engineer,Expel,"Remote in Herndon, VA",85000.0,Full-time,"Reinforce our belief in good software engineering discipline including code reviews and unit testing.
Give you challenging, real world problems on which to use…",https://www.indeed.com/company/Expel/jobs/Associate-Software-Engineer-93b5c73e9c739764?fccid=062889022743dd76&vjs=3,
25,Associate Software Engineer,software engineer,Carfax,"Centreville, VA+7 locations",,Full-time,"Promote great software design and quality.
Collaborate closely with other engineers, stakeholders, and internal customers.",https://www.indeed.com/rc/clk?jk=a83cf8a20820af82&fccid=2e34fbb9cb2e96bf&vjs=3,https://www.indeed.com/cmp/Carfax
26,Software Development Engineer,software engineer,Hewlett Packard Enterprise,"Fort Collins, CO 80521+32 locations",87000.0,Internship,"Participates as a member of project team of other software systems engineers and internal and outsourced development partners to develop reliable, cost…",https://www.indeed.com/rc/clk?jk=52f1104cf89a3e04&fccid=216eb700022de6f6&vjs=3,https://www.indeed.com/cmp/Hewlett-Packard-Enterprise
27,"Software Engineer II (Open to remote work, except the follow...",software engineer,Nike,"Remote in Beaverton, OR+14 locations",106000.0,Full-time,"Proven experience designing and developing on the AWS cloud infrastructure is a must.
Practice DevOps ensuring a culture of testing and releasing software on…",https://www.indeed.com/rc/clk?jk=0db410ce90057865&fccid=2c62e4de04b8f952&vjs=3,https://www.indeed.com/cmp/Nike
28,"Full Stack Tooling Engineer, Autonomy Software",software engineer,Tesla,"Palo Alto, CA+5 locations",,Full-time,"Work with controls, planning, and machine learning engineers to build tooling tailored to their workflows.
BS in Computer Science, Physics, Computer Engineering…",https://www.indeed.com/rc/clk?jk=678098dc16fc669d&fccid=86e9be6ce380173e&vjs=3,https://www.indeed.com/cmp/Tesla
